PARK,Fields,Club,Location address 1,Alternative address #2,,,Location Map,Field Map,,,,
Friedenfeld Park,,MK Germantown SC,W140 N11492 Country Aire Dr.,Germantown,WI,53022,"https://www.google.com/maps/dir//W140+N11492+Country+Aire+Dr.+(north+of+Mequon+Rd.)+Germantown,+WI/@43.2699583,-88.3107327,11z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8804fc1abe72603f:0x13b133f4bf606ddb!2m2!1d-88.0800523!2d43.2265017",,,,,
FT. HOWARD PARK,Ft. Howard Park,2127 Crary Street,"2127 Crary Street, Ashwaubenon, WI 54304",WI,,,54304,�,,,,
Frontier Parks Sports Complex,Field E,,"3415 Book Rd., Naperville, IL 60564",,,,,,,,,
Glover Park,FIELD MAP,Glover Park,"11217 Greenwood Road, Glen Allen, VA 23059",,,,,,,,,
GOALGETTERS UNITED SOCCER CLUB,Goalgetters United Soccer Club,1900 W VIEBAHN ST,"1900 W VIEBAHN ST, Manitowoc, WI 54220",WI,,,54220,,,,,
Gordan Park,,,"Gordon Park 2828 N Humboldt Blvd Milwaukee, WI",,,,,,,,,
Grant Park,,,,,,,,,,,,
Grand Park,FIELD MAP,,"19000 Grand Park Blvd, Westfield, IN 46074",,,,,,,,,
GREAT NORTHERN PARK,Great Northern Park,,"735 KENSINGTON ROAD, Neenah, WI 54956",WI,,,54956,�,,,,
Green Bay -Southwest High School,,,1331 Packerland Dr,Green Bay,WI,54304,"https://www.google.com/maps/dir//Green+Bay+Southwest+High+School,+Packerland+Drive,+Green+Bay,+WI/@44.5174571,-88.0742938,14z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8802f9c7297904b5:0x81c52e6e5bb8024a!2m2!1d-88.0992063!2d44.5190376!3e0",,,,,
Green Bay West High School ,,,,,,,,,,,,
Green Bay East H.S.,City Stadium,Allouez,"1500 E Walnut St, Green Bay, WI 54301",Green Bay,WI,54301,"https://www.google.com/maps/place/1500+E+Walnut+St,+Green+Bay,+WI+54301/@44.5071861,-87.9937548,17z/data=!3m1!4b1!4m5!3m4!1s0x8802e516305d3917:0x245510c1e2480be7!8m2!3d44.5071861!4d-87.9915608",,,,,
Greenfield MS GHS JV field,JV Field,AC Toros,"3200 W Barnard Ave, Greenfield, WI 53221",,,,,,,,,
Greenwood Park,TBD,Jefferson Cup - VA Richmond,"11217 Greenwood Drive, Glen Allen, VA 23059",,,,,,,,,
GRIGNON PARK,Grignon Park,,"1111 Augustine St., Kaukauna, WI 54130",WI,,,54130,�,,,,
Grover Park (formerly Greenwood Pk),#02,Jefferson Cup - VA Richmond,"11217 Greenwood Drive, Glen Allen, VA 23059",,,,,,,,,
Gully,,MKSC TO(Tosa),"7900 Menomonee River Pkwy.,(south of Milwaukee Ave.), Wauwatosa, WI",,,,,,,,,
Hales Corners Park,,MKSC - South,"Hales Corners Park, 5765 S New Berlin Rd, Hales Corners, WI 53130",,,,no field map,no field map,,,,
Hallmark SF - Lowell,#2,NWI Lions United,"18150 Mississippi St, Lowell, IN 46356",,,,no field map,,,,,
Healtheast Sportscenter Fieldhouse,#1,Salvo SC (MN),"4125 Radio Dr., Woodbury, MN 55129",,,,,,,,,
Heather Ridge Park,,,"W248S7475 Nottingham Way, Waukesha, WI 53189",,,,,,,,,
Heritage Park,,Chicago Magic,109 Community Blvd,Wheeling,IL,60090,"https://www.google.com/maps/dir//Heritage+Park+-+North+Parking,+1+Community+Blvd,+Wheeling,+IL+60090/@42.1028614,-87.9402813,43348m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x880fb9ff9b108711:0xcc993c3a5777f45!2m2!1d-87.9209752!2d42.1376657!3e0?entry=ttu",,,,,
Heritage Trail,,WUFC,4668 COUNTY HIGHWAY E,Slinger,WI,53086,"https://www.google.com/maps/place/4668+County+Hwy+E,+Slinger,+WI+53086/@43.2956658,-88.2696756,17z/data=!3m1!4b1!4m5!3m4!1s0x880450eae96dc56d:0xe1d7965336f4deac!8m2!3d43.2956658!4d-88.2674869",,,,,
Humboldt High School,,MN Select,"30 Baker St E, ",ST. Paul,MN,55107,,,,,,
Horace Mann,#4,Lakeshore United FC,2820 Union Ave,Sheboygan,WI,53081,"https://www.google.com/maps/place/Horace+Mann+Middle+School/@43.7350846,-87.7463036,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x7a6b0b9983d21bee!8m2!3d43.7350846!4d-87.7441149",,,,,
Hwy Q,Field 3,WI Rush,"5211 Co Hwy Q,",Waunakee,WI,53597,"https://www.google.com/maps/dir/''/hwy+q+soccer+fields/@43.1405841,-89.5084915,13z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8807aa29e929a2c5:0x7b66a23c41af06de!2m2!1d-89.4734721!2d43.1405268",,,,,
Independence Park,#6,Hartford Soccer Club,"700 East Monroe Avenue,",Hartford,WI,53027,"https://www.google.com/maps/dir//Independence+Park,+700+East+Monroe+Avenue,+Hartford,+WI+53027/@43.3110656,-88.3835429,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x88044f767da520df:0xcf5011dfa1b107a4!2m2!1d-88.3664257!2d43.3045608",,,,,
James Cownie sf,#4,,"2600 Hartford Ave., Des Moines, IA 50320",,,,,,,,,
Janesville YSC (Youth Sports Complex),Field #3(13U-19U),Rock Soccer Club (RSC),"100 S Wuthering Hills Dr, Janesville, WI 53546",,,,,,,,,
JPW,Field 20,Oregon SC,"Jaycee Park - West, 110 N Oak St, Oregon, WI 53575",,,,,,,,,
