DATE,TIME-S,TIME-E,FCW TEAM,VS.   ,,LOCATION,FIELD,,EVENT
"Sunday, April 19, 2026",,,13UB ECNL RL,MTA,,FC Wisconsin sf,,,ECNL RL League Game
"Saturday, April 25, 2026",,,13UB ECNL RL,Rockford Raptors,,Sportscore II,,,ECNL RL League Game
"Saturday, May 2, 2026",,,13UB ECNL RL,MTA,,MN,,,ECNL RL League Game
"Sunday, May 3, 2026",,,13UB ECNL RL,St. Croix,,MN,,,ECNL RL League Game
"Saturday, May 16, 2026",,,13UB ECNL RL,Indiana Elite,,FC Wisconsin sf,,,ECNL RL League Game
"Sunday, May 17, 2026",,,13UB ECNL RL,Chicago Inter,,FC Wisconsin sf,,,ECNL RL League Game
TBD,,,13UB ECNL RL,WIUFC,,FC Wisconsin sf,,,NL P2 League Game
TBD,,,13UB ECNL RL,NSU,,FC Wisconsin sf,,,NL P2 League Game
TBA,,,13UB ECNL RL,Croatians,,Croatian Park,,,NL P2 League Game
TBD,,,13UB ECNL RL,Libertyville,,FC Wisconsin sf,,,NL P2 League Game
TBA,,,13UB ECNL RL,EBU,,Voigt Park,,,NL P2 League Game
TBD,,,13UB ECNL RL,Rockford Raptors,,FC Wisconsin sf,,,NL P2 League Game
TBA,,,13UB ECNL RL,Madison 56ers,,Reddan Park,,,NL P2 League Game
TBA,,,13UB ECNL RL,FC 1 Academy,,Chicago,,,NL P2 League Game
TBA,,,13UB ECNL RL,Chicago Inferno,,Chicago,,,NL P2 League Game
,,,,,,,,,
1 Mondays,6:30 PM,8:00 PM,13UB RCP,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
4 Thursdays,5:00 PM,6:30 PM,13UB RCP,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
,,,,,,,,,
"Friday, September 19, 2025",,,13UB RCP,,,Voigt Park,,,Tournament-EBU Select Cup
"Saturday, September 20, 2025",,,13UB RCP,,,Voigt Park,,,Tournament-EBU Select Cup
"Sunday, September 21, 2025",,,13UB RCP,,,Voigt Park,,,Tournament-EBU Select Cup
"Friday, October 3, 2025",,,13UB RCP,,,SCORe,,,Tournament-Racine Lighthouse Classic
"Saturday, October 4, 2025",,,13UB RCP,,,SCORe,,,Tournament-Racine Lighthouse Classic
"Sunday, October 5, 2025",,,13UB RCP,,,SCORe,,,Tournament-Racine Lighthouse Classic
,,,,,,,,,
,,,,,,,,,
2 Tuesdays,6:30 PM,8:00 PM,14UB ECNL,,,FC Wisconsin sf,Val Olla #01,,Training
3 Wednesdays,6:30 PM,8:00 PM,14UB ECNL,,,FC Wisconsin sf,Val Olla #01,,Training
4 Thursdays,6:30 PM,8:00 PM,14UB ECNL,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
,,,,,,,,,
"Friday, September 12, 2025",,,14UB ECNL,,,St. Louis,,,"Tournament-ECNL Showcase, St. Louis"
"Saturday, September 13, 2025",,,14UB ECNL,,,St. Louis,,,"Tournament-ECNL Showcase, St. Louis"
"Sunday, September 14, 2025",,,14UB ECNL,,,St. Louis,,,"Tournament-ECNL Showcase, St. Louis"
,,,,,,,,,
"Saturday, October 11, 2025",11:30 AM,,14UB ECNL,Rockford Raptors,,Sportscore II,,,ECNL League
"Saturday, October 12, 2024",,,14UB ECNL,Eclipse,,Chicago,,,ECNL League
,,,,,,,,,
"Saturday, March 14, 2026",,,14UB ECNL,Chicago Inter,,Chicago,,,ECNL League
"Sunday, March 15, 2026",,,14UB ECNL,Indiana Elite,,Chicago,,,ECNL League
"Saturday, March 21, 2026",,,14UB ECNL,Rockford Raptors,,FC Wisconsin sf,,,ECNL League
"Sunday, March 22, 2026",,,14UB ECNL,Eclipse,,FC Wisconsin sf,,,ECNL League
"Saturday, April 18, 2026",,,14UB ECNL,St. Croix,,MN,,,ECNL League
"Sunday, April 19, 2026",,,14UB ECNL,MTA,,MN,,,ECNL League
"Saturday, April 25, 2026",,,14UB ECNL,Chicago Magic,,FC Wisconsin sf,,,ECNL League
"Saturday, May 2, 2026",,,14UB ECNL,Indiana Elite,,FC Wisconsin sf,,,ECNL League
"Sunday, May 3, 2026",,,14UB ECNL,Chicago Inter,,FC Wisconsin sf,,,ECNL League
"Saturday, May 16, 2026",,,14UB ECNL,MTA,,FC Wisconsin sf,,,ECNL League
"Sunday, May 17, 2026",,,14UB ECNL,St. Croix,,FC Wisconsin sf,,,ECNL League
"Saturday, May 30, 2026",,,14UB ECNL,Chicago Magic,,Chicago,,,ECNL League
,,,,,,,,,
1 Mondays,6:30 PM,8:00 PM,14UB RL,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
3 Wednesdays,6:30 PM,8:00 PM,14UB RL,,,FC Wisconsin sf,Val Olla #01,,Training
4 Thursdays,6:30 PM,8:00 PM,14UB RL,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
,,,,,,,,,
"Friday, August 22, 2025",,,14UB ECNL RL,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
"Saturday, August 23, 2025",,,14UB ECNL RL,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
"Sunday, August 24, 2025",,,14UB ECNL RL,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
"Saturday, September 6, 2025",11:30 AM,,14UB ECNL RL,WIUFC,,Appleton,,,NL P2 League Game
"Sunday, September 7, 2025",4:30 PM,,14UB ECNL RL,NSU,,PWSB,Field #05,,NL P2 League Game
"Saturday, September 13, 2025",10:30 AM,,14UB ECNL RL,Croatian Eagles,,FC Wisconsin sf,,,NL P2 League Game
"Sunday, September 14, 2025",,,14UB ECNL RL,Libertyville,,Libertyville SC,,,NL P2 League Game
"Saturday, September 20, 2025",,,14UB ECNL RL,Chicago Inter,,Chicago,,,ECNL RL League Game
"Sunday, September 21, 2025",,,14UB ECNL RL,Indiana Elite,,Chicago,,,ECNL RL League Game
"Saturday, October 4, 2025",5:00 PM,,14UB ECNL RL,EBU,,FC Wisconsin sf,,,NL P2 League Game
"Sunday, October 5, 2025",,,14UB ECNL RL,Chicago Magic,,Chicago,,,ECNL RL League Game
"Saturday, October 11, 2025",,,14UB ECNL RL,Rockford Raptors,,Sportscore II,,,NL P2 League Game
"Sunday, October 12, 2025",10:30 AM,,14UB ECNL RL,Rockford Raptors,,FC Wisconsin sf,,,ECNL RL League Game
"Saturday, October 18, 2025",10:30 AM,,14UB ECNL RL,Madison 56ers,,FC Wisconsin sf,,,NL P2 League Game
"Saturday, November 1, 2025",4:00 PM,,14UB ECNL RL,FC 1 Academy,,FC Wisconsin sf,,,NL P2 League Game
"Sunday, November 2, 2025",1:30 PM,,14UB ECNL RL,Chicago Inferno,,FC Wisconsin sf,,,NL P2 League Game
,,,,,,,,,
"Sunday, March 22, 2026",,,14UB ECNL RL,Chicago Magic,,FC Wisconsin sf,,,ECNL RL League Game
"Saturday, April 18, 2026",,,14UB ECNL RL,St. Croix,,FC Wisconsin sf,,,ECNL RL League Game
"Sunday, April 19, 2026",,,14UB ECNL RL,MTA,,FC Wisconsin sf,,,ECNL RL League Game
"Saturday, April 25, 2026",,,14UB ECNL RL,Rockford Raptors,,Sportscore II,,,ECNL RL League Game
"Saturday, May 2, 2026",,,14UB ECNL RL,MTA,,MN,,,ECNL RL League Game
"Sunday, May 3, 2026",,,14UB ECNL RL,St. Croix,,MN,,,ECNL RL League Game
"Saturday, May 16, 2026",,,14UB ECNL RL,Indiana Elite,,FC Wisconsin sf,,,ECNL RL League Game
"Sunday, May 17, 2026",,,14UB ECNL RL,Chicago Inter,,FC Wisconsin sf,,,ECNL RL League Game
TBD,,,14UB ECNL RL,WIUFC,,FC Wisconsin sf,,,NL P2 League Game
TBD,,,14UB ECNL RL,NSU,,FC Wisconsin sf,,,NL P2 League Game
TBA,,,14UB ECNL RL,Croatians,,Croatian Park,,,NL P2 League Game
TBD,,,14UB ECNL RL,Libertyville,,FC Wisconsin sf,,,NL P2 League Game
TBA,,,14UB ECNL RL,EBU,,Voigt Park,,,NL P2 League Game
TBD,,,14UB ECNL RL,Rockford Raptors,,FC Wisconsin sf,,,NL P2 League Game
TBA,,,14UB ECNL RL,Madison 56ers,,Reddan Park,,,NL P2 League Game
TBA,,,14UB ECNL RL,FC 1 Academy,,Chicago,,,NL P2 League Game
TBA,,,14UB ECNL RL,Chicago Inferno,,Chicago,,,NL P2 League Game
,,,,,,,,,
1 Mondays,6:30 PM,8:00 PM,14UB RCP,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
4 Thursdays,5:00 PM,6:30 PM,14UB RCP,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
,,,,,,,,,
"Friday, August 22, 2025",,,14UB RCP,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
"Saturday, August 23, 2025",,,14UB RCP,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
"Sunday, August 24, 2025",,,14UB RCP,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
"Friday, October 3, 2025",,,14UB RCP,,,SCORe,,,Tournament-Racine Lighthouse Classic
"Saturday, October 4, 2025",,,14UB RCP,,,SCORe,,,Tournament-Racine Lighthouse Classic
"Sunday, October 5, 2025",,,14UB RCP,,,SCORe,,,Tournament-Racine Lighthouse Classic
,,,,,,,,,
2 Tuesdays,6:30 PM,8:00 PM,15UB FALL Black,,,FC Wisconsin sf,Val Olla #01,,Training
4 Thursdays,6:30 PM,8:00 PM,15UB FALL Black,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
,,,,,,,,,
"Saturday, October 11, 2025",,,15UB FALL Black,,,Olympic Park,,,Tournament-Sockers Fall Classic
"Sunday, October 12, 2025",,,15UB FALL Black,,,Olympic Park,,,Tournament-Sockers Fall Classic
,,,,,,,,,
2 Tuesdays,6:30 PM,8:00 PM,15UB FALL Grey,,,FC Wisconsin sf,Val Olla #01,,Training
4 Thursdays,6:30 PM,8:00 PM,15UB FALL Grey,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
,,,,,,,,,
"Saturday, August 30, 2025",,,15UB FALL Grey,,,Sportscore II,,,Tournament- Rockford Labor Day
"Sunday, August 31, 2025",,,15UB FALL Grey,,,Sportscore II,,,Tournament- Rockford Labor Day
